Measurement date,km [10^5] SW,Wheelset,Axle No,Wheel No,Height (sH)  (Left),Thickness (sD)  (Left),Gradient (qR)  (Left),Angle (A)  (Left),Wear (Wt)  (Left),Wear (Wf)  (Left),Wear (Wr)  (Left),Hollow (Hl)  (Left),DELTA At [mm],ao [mm] LCC_VG,Tes [mm/10^5 km],Trt [mm/10^5 km],Tdt [mm/10^5 km]
2019-05-06,2.27115,1,1,R,29.9,32.67,0.04,0,2,1.41,2.51,0.28,5.78,27.91,0.880611144,2.544966207,3.425577351
2019-05-06,2.27115,2,2,R,30.02,33.24,0.05,0,2.12,0.84,3.18,0.54,5.91,27.91,0.933447813,2.602205931,3.535653744
2019-05-06,2.27115,3,3,R,30.59,33.6,0.25,0,2.69,0.48,1.5,0.24,1.55,27.91,1.184421989,0.682473637,1.866895626
2019-05-06,2.27115,4,4,R,30.35,32.9,0.08,0,2.44,1.18,2.92,0.47,5.05,27.91,1.074345596,2.223543139,3.297888735
2019-05-06,2.27115,4,4,L,30.03,30.85,0.09,0,2.13,3.22,4.04,0.13,9.55,27.91,0.937850869,4.204918213,5.142769082
2019-05-06,2.27115,3,3,L,30.34,32.49,0.12,0,2.44,1.59,3.18,0.49,6.2,27.91,1.074345596,2.729894547,3.804240143
2019-05-06,2.27115,2,2,L,30,33.34,0.06,0,2.1,0.74,1.95,0.26,3.42,27.91,0.924641701,1.505845056,2.430486758
2019-05-06,2.27115,1,1,L,29.95,32.43,0.05,0,2.04,1.65,3.49,0.48,8.02,27.91,0.898223367,3.531250688,4.429474055
2019-05-06,3.12629,1,1,R,31.07,33.01,0.22,0,3.17,1.07,2.98,0.28,4.42,27.91,1.013981428,1.413816377,2.427797805
2019-05-06,3.12629,2,2,R,32.5,30.98,0.76,0,4.6,3.1,5.55,0.29,9.69,27.91,1.471392609,3.099520518,4.570913127
2019-05-06,3.12629,3,3,R,31.25,32.09,0.39,0,3.35,1.99,3.42,0.23,6.08,27.91,1.071557661,1.944797188,3.016354849
2019-05-06,3.12629,4,4,R,32.81,32.03,0.76,0,4.91,2.05,4.62,0.48,7.28,27.91,1.570551676,2.328638738,3.899190414
2019-05-06,3.12629,4,4,L,31.33,33.61,0.29,0,3.42,0.47,2.23,0.41,2.55,27.91,1.093948418,0.815663294,1.909611712
2019-05-06,3.12629,3,3,L,30.6,33.74,0.21,0,2.69,0.34,1.48,0.25,1.41,27.91,0.860444808,0.451013821,1.31145863
2019-05-06,3.12629,2,2,L,31.37,32.71,0.33,0,3.47,1.37,2.74,0.45,4.91,27.91,1.109941816,1.570551676,2.680493492
2019-05-06,3.12629,1,1,L,30.63,33.06,0.23,0,2.73,1.02,2.54,0.36,4.53,27.91,0.873239527,1.449001852,2.322241379
2019-05-07,1.70347,1,1,R,29.06,32.39,-0.12,0,1.15,1.69,2.23,0.54,6.23,27.91,0.675092605,3.657240808,4.332333414
2019-05-07,1.70347,2,2,R,29.43,32.62,-0.03,0,1.52,1.46,2.34,0.45,5.33,27.91,0.892296313,3.128907465,4.021203778
2019-05-07,1.70347,3,3,R,29.47,32.6,-0.02,0,1.56,1.48,2.36,0.52,5.53,27.91,0.915777795,3.246314875,4.16209267
2019-05-07,1.70347,4,4,R,29.33,32.45,-0.04,0,1.42,1.62,2.37,0.38,6.1,27.91,0.833592608,3.580925992,4.4145186
2019-05-07,1.70347,4,4,L,29.67,32.83,0.03,0,1.76,1.25,2.24,0.46,4.54,27.91,1.033185204,2.665148198,3.698333402
2019-05-07,1.70347,3,3,L,29.36,32.87,-0.05,0,1.45,1.21,1.99,0.5,4.91,27.91,0.851203719,2.882351905,3.733555625
2019-05-07,1.70347,2,2,L,29.18,31.81,-0.11,0,1.27,2.26,2.71,0.61,7.5,27.91,0.745537051,4.402777859,5.14831491
2019-05-07,1.70347,1,1,L,29.21,32.41,-0.11,0,1.31,1.67,2.17,0.43,5.72,27.91,0.769018533,3.357851914,4.126870447
2019-05-07,0.87849,1,1,R,28.42,31.35,-0.27,0,0.52,2.73,2.78,0.61,8.63,27.91,0.59192478,9.823674715,10.41559949
2019-05-07,0.87849,2,2,R,28.49,32.29,-0.23,0,0.58,1.79,2.2,0.82,6.59,27.91,0.660223793,7.50150827,8.161732063
2019-05-07,0.87849,3,3,R,28.74,32.13,-0.18,0,0.84,1.95,2.49,0.66,7.07,27.91,0.956186183,8.047900375,9.004086558
2019-05-07,0.87849,4,4,R,28.45,29.33,-0.27,0,0.55,4.75,4.32,0.57,11.98,27.91,0.626074287,13.63703628,14.26311056
2019-05-07,0.87849,4,4,L,28.75,30.36,-0.24,0,0.84,3.72,3.6,0.67,10.26,27.91,0.956186183,11.67913124,12.63531742
2019-05-07,0.87849,3,3,L,28.78,32.21,-0.22,0,0.88,1.87,2.38,0.75,6.44,27.91,1.001718858,7.330760737,8.332479596
2019-05-07,0.87849,2,2,L,28.56,32.41,-0.26,0,0.66,1.66,1.98,0.7,5.89,27.91,0.751289144,6.704686451,7.455975594
2019-05-07,0.87849,1,1,L,28.36,31.41,-0.23,0,0.46,2.67,2.65,0.72,8.56,27.91,0.523625767,9.743992533,10.2676183
2019-05-07,3.54065,1,1,R,33.63,27.39,1.04,0,5.73,6.68,9.08,0.36,14.34,27.91,1.618346914,4.050103795,5.668450708
2019-05-07,3.54065,2,2,R,30.55,30.14,0.26,0,2.65,3.93,4.45,0.58,9.99,27.91,0.748450143,2.821515823,3.569965967
2019-05-07,3.54065,3,3,R,33.63,26.37,0.97,0,5.73,7.71,10.12,0.82,15.73,27.91,1.618346914,4.442687077,6.061033991
2019-05-07,3.54065,4,4,R,30.83,29.77,0.36,0,2.92,4.3,4.57,0.22,10.2,27.91,0.824707328,2.880826967,3.705534295
2019-05-07,3.54065,4,4,L,31.41,31.55,0.54,0,3.51,2.53,3.83,0.22,7.48,27.91,0.991343397,2.112606442,3.10394984
2019-05-07,3.54065,3,3,L,30.57,32.84,0.15,0,2.67,1.23,2.63,0.79,5.53,27.91,0.754098824,1.56186011,2.315958934
2019-05-07,3.54065,2,2,L,31.89,30.75,0.61,0,3.98,3.33,5.55,0.31,10.3,27.91,1.124087385,2.909070368,4.033157754
2019-05-07,3.54065,1,1,L,30.91,33.22,0.36,0,3.01,0.85,2.04,0.45,2.8,27.91,0.850126389,0.790815246,1.640941635
2019-05-08,0.20395,2,2,R,28.43,33.45,-0.29,0,0.53,0.63,1.22,1.13,2.47,27.91,2.598676146,12.11081147,14.70948762
2019-05-09,2.45633,1,1,R,30.63,32.92,0.32,0,2.72,1.16,2.33,0.53,3.91,27.91,1.107343069,1.591805661,2.69914873
2019-05-09,2.45633,2,2,R,30.48,33.28,0.23,0,2.58,0.8,2.09,0.59,2.91,27.91,1.05034747,1.184694239,2.235041709
2019-05-09,2.45633,3,3,R,30.53,32.92,0.26,0,2.63,1.16,2.28,0.27,4.03,27.91,1.070703041,1.640659032,2.711362073
2019-05-09,2.45633,4,4,R,30.55,33.18,0.27,0,2.65,0.9,2.17,0.22,3.26,27.91,1.078845269,1.327183237,2.406028506
2019-05-09,2.45633,4,4,L,30.4,33.18,0.21,0,2.49,0.9,2.22,0.37,3.57,27.91,1.013707442,1.453387778,2.467095219
2019-05-09,2.45633,3,3,L,30.46,32.81,0.28,0,2.55,1.27,2.34,0.34,4.32,27.91,1.038134127,1.758721344,2.796855471
2019-05-09,2.45633,2,2,L,30.8,32.94,0.32,0,2.9,1.14,2.45,0.36,3.84,27.91,1.180623125,1.563307862,2.743930986
2019-05-09,2.45633,1,1,L,30.27,32.46,0.22,0,2.37,1.62,2.6,0.38,7.88,27.91,0.964854071,3.208038008,4.172892079
2019-05-09,2.61202,1,1,R,30.34,30.99,0.21,0,2.44,3.09,3.71,0.36,8.57,27.91,0.934142924,3.280985597,4.215128521
2019-05-09,2.61202,2,2,R,30.32,32.75,0.18,0,2.41,1.33,2.39,0.44,4.72,27.91,0.92265756,1.807030574,2.729688134
2019-05-09,2.61202,3,3,R,30.28,31.55,0.17,0,2.37,2.53,3.27,0.24,7.54,27.91,0.907343742,2.886654773,3.793998515
2019-05-09,2.61202,4,4,R,30,32.14,0.13,0,2.09,1.94,2.67,0.45,6.13,27.91,0.800147013,2.346842673,3.146989686
2019-05-09,2.61202,4,4,L,30.66,32.38,0.45,0,2.76,1.7,3.11,0.49,5.67,27.91,1.056653471,2.170733762,3.227387233
